,U-mine-3,A-mine-3,U-mine-6,A-mine-6,U-mine-5,A-mine-5,U-rule5,A-rule5,U-rule6-20,A-rule6-20
0.1ETH,1030,2282,1,2,,,1529,6321,1304,5098
1ETH,4190,8930,1,2,2,6,2307,6223,2845,8294
10ETH,3609,7743,26,87,,,1594,4447,2552,7983
100ETH,972,2126,47,116,,,500,1234,985,3125
100DAI,17,37,,,,,19,40,27,81
1000DAI,129,283,,,,,34,70,54,178
10000DAI,474,1303,,,,,31,65,98,332
100000DAI,402,1101,,,,,21,46,92,306
100USDT,44,89,0,0,,,42,84,29,68
1000USDT,96,199,,,,,36,73,43,104
100USDC,9,18,0,0,,,8,16,18,70
1000USDC,94,199,,,,,30,61,58,150
0.1WBTC,26,54,,,,,2,4,8,30
1WBTC,60,156,0,0,,,3,6,24,84
10WBTC,51,114,0,0,,,3,9,18,82
5000cDAI,0,0,0,0,,,0,0,1,3
50000cDAI,0,0,0,0,,,0,0,2,10
500000cDAI,0,0,0,0,,,0,0,4,13
5000000cDAI,0,0,0,0,,,1,2,6,27
